group,layer,opponent,n_inputs,mean_logp_margin
F08,7,C2,16,0.28015124797821045
F08,8,C2,16,-0.1666259765625
F08,9,C2,16,0.6128845810890198
F08,10,C2,16,2.0322265625
F08,11,C2,16,-0.0203249454498291
F08,12,C2,16,-2.6259307861328125
F08,13,C2,16,-1.9677733182907104
F08,14,C2,16,-0.48095691204071045
F08,15,C2,16,0.9470057487487793
F08,16,C2,16,2.3793946504592896
F08,17,C2,16,3.5107420086860657
F08,18,C2,16,2.1787109375
F08,19,C2,16,4.7119140625
F08,20,C2,16,4.695495665073395
F08,21,C2,16,7.119354248046875
F08,22,C2,16,5.2128907442092896
F08,23,C2,16,5.300781190395355
F08,24,C2,16,5.156249910593033
F08,25,C2,16,13.128906354308128
F08,26,C2,16,13.999999970197678
F08,27,C2,16,11.48046875
F08,28,C2,16,14.667968809604645
F08,29,C2,16,11.9921875
F08,30,C2,16,8.40234375
F08,31,C2,16,6.882812559604645
F08,32,C2,16,2.0703125
F09,0,C2,16,-2.71875
F09,1,C2,16,-0.2364501953125
F09,2,C2,16,-0.2115478515625
F09,3,C2,16,0.0348663330078125
F09,4,C2,16,-0.19384765625
F09,5,C2,16,0.2326812744140625
F09,6,C2,16,-0.33575439453125
F09,7,C2,16,-1.864501953125
F09,8,C2,16,-2.1064605712890625
F09,9,C2,16,-2.1022948622703552
F09,10,C2,16,-0.18823254108428955
F09,11,C2,16,0.8161617517471313
F09,12,C2,16,-1.3168182373046875
F09,13,C2,16,2.12845242023468
F09,14,C2,16,2.8154826760292053
F09,15,C2,16,5.592222094535828
F09,16,C2,16,3.6533204913139343
F09,17,C2,16,4.79638671875
F09,18,C2,16,3.4774170517921448
F09,19,C2,16,4.4301756620407104
F09,20,C2,16,4.677734464406967
F09,21,C2,16,5.431640625
F09,22,C2,16,4.708618074655533
F09,23,C2,16,7.650390654802322
F09,24,C2,16,9.2578125
F09,25,C2,16,7.2597655057907104
F09,26,C2,16,9.28515625
F09,27,C2,16,9.468749970197678
F09,28,C2,16,9.589843720197678
F09,29,C2,16,16.328125
F09,30,C2,16,8.43749999254942
F09,31,C2,16,9.1640625
F09,32,C2,16,3.2265625
F10,0,C2,16,-1.91015625
F10,1,C2,16,-0.545379638671875
F10,2,C2,16,-0.931610107421875
F10,3,C2,16,0.22216796875
F10,4,C2,16,-0.547119140625
F10,5,C2,16,0.2116851806640625
F10,6,C2,16,0.04876708984375
F10,7,C2,16,-1.803955078125
F10,8,C2,16,-2.3505859375
F10,9,C2,16,-1.2072601318359375
F10,10,C2,16,-2.2758787870407104
F10,11,C2,16,-2.2633285522460938
F10,12,C2,16,-2.52886962890625
F10,13,C2,16,-3.5449219942092896
F10,14,C2,16,0.46617138385772705
F10,15,C2,16,0.8988037109375
F10,16,C2,16,1.9471434354782104
F10,17,C2,16,2.3515625596046448
F10,18,C2,16,3.0146484971046448
F10,19,C2,16,5.440429747104645
F10,20,C2,16,5.214111506938934
F10,21,C2,16,7.69873046875
F10,22,C2,16,4.570312559604645
F10,23,C2,16,4.8300782442092896
F10,24,C2,16,3.8984375298023224
F10,25,C2,16,2.257812514901161
F10,26,C2,16,9.406249970197678
F10,27,C2,16,9.41796875
F10,28,C2,16,8.257812559604645
F10,29,C2,16,9.714843809604645
F10,30,C2,16,7.45703125
F10,31,C2,16,8.65625
F10,32,C2,16,2.882812488824129
F11,0,C2,16,-2.28515625
F11,1,C2,16,-0.1842193603515625
F11,2,C2,16,-0.33530426025390625
F11,3,C2,16,-0.7324981689453125
F11,4,C2,16,-1.760498046875
F11,5,C2,16,-1.6443500518798828
F11,6,C2,16,-0.6843414306640625
F11,7,C2,16,-0.51812744140625
F11,8,C2,16,-1.525177001953125
F11,9,C2,16,-0.1615581512451172
F11,10,C2,16,2.3095703125
F11,11,C2,16,1.0059890747070312
F11,12,C2,16,1.9422340393066406
F11,13,C2,16,2.730224847793579
F11,14,C2,16,5.55096435546875
F11,15,C2,16,5.8062742948532104
F11,16,C2,16,7.1572264432907104
F11,17,C2,16,5.360839903354645
F11,18,C2,16,5.268211245536804
F11,19,C2,16,7.5122069120407104
F11,20,C2,16,7.8242186307907104
F11,21,C2,16,11.336425542831421
F11,22,C2,16,8.07788074016571
F11,23,C2,16,8.32519543170929
F11,24,C2,16,7.839843779802322
F11,25,C2,16,11.152343735098839
F11,26,C2,16,18.49609375
F11,27,C2,16,16.90234375
F11,28,C2,16,14.51171875
F11,29,C2,16,14.91796875
F11,30,C2,16,9.328124970197678
F11,31,C2,16,11.4921875
F11,32,C2,16,2.953124985098839
F12,0,C2,16,-3.07421875
F12,1,C2,16,-1.084686279296875
F12,2,C2,16,-0.7850341796875
F12,3,C2,16,-0.1328125
F12,4,C2,16,-0.969970703125
F12,5,C2,16,-1.250335693359375
F12,6,C2,16,-2.5417405366897583
F12,7,C2,16,-1.3782960772514343
F12,8,C2,16,-0.94488525390625
F12,9,C2,16,-2.80029296875
F12,10,C2,16,-3.8994140625
F12,11,C2,16,-3.6125295162200928
F12,12,C2,16,-1.548095703125
F12,13,C2,16,-1.0478515625
F12,14,C2,16,2.2159727215766907
F12,15,C2,16,0.05096447467803955
F12,16,C2,16,1.60546875
F12,17,C2,16,2.2528076171875
F12,18,C2,16,2.8175050020217896
